batch_size,epcho,test_loss,test_accuracy
8,40,0.4930862486362457,0.8425841927528381
8,60,0.3958419859409332,0.8729147911071777
8,80,0.36452457308769226,0.8902032375335693
8,100,0.3426170349121094,0.8908098340034485
16,40,0.2894038259983063,0.9205338358879089
16,60,0.28855112195014954,0.9241734743118286
16,80,0.28487348556518555,0.92659991979599
16,100,0.28124988079071045,0.9317561388015747
32,40,0.3110587000846863,0.9341825842857361
32,60,0.3037400245666504,0.9341825842857361
32,80,0.31198036670684814,0.9341825842857361
32,100,0.2883305847644806,0.9366090297698975
64,40,0.3531637191772461,0.9375189542770386
64,60,0.3339785635471344,0.939642071723938
64,80,0.3798479735851288,0.9372156262397766
64,100,0.3780771791934967,0.9408553242683411
